"%s - Account creation";"%s - Создание аккаунта"
"%s - Your new password";"%s  - Ваш новый пароль"
"A request to reset your password has been made.";"Запрос для сброса пароля был сформирован."
"An error occurred while connecting to your Facebook account. Please try again later";"Произошла ошибка при подключении к вашей учетной записи Facebook. Пожалуйста, повторите попытку позже."
"Are you sure you want to remove this user?";"Вы уверены, что хотите удалить этого пользователя?"
"Change Password";"Изменить Пароль"
"Civility";"Обращаться"
"Congratulations,";"Добро пожаловать!"
"Create";"Создать"
"Create a new user";"Создание нового пользователя"
"Create an account";"Создать аккаунт"
"Customer";"Клиент"
"Customers";"Клиенты"
"Disconnect";"Выйти"
"Edit the user %s";"Редактирование пользователя %s"
"First name";"Ваше Имя"
"Forgot your password?";"Забыли пароль?"
"Gender";"Обращаться"
"Here are your credentials:";"Вот ваши данные:"
"I accept the <u>privacy policy</u>";"Я принимаю <u>политику конфиденциальности</u>"
"I accept the privacy policy";"Принять политику безопасности"
"If you encounter any problems, do not hesitate to contact us:";"Если у вас возникли проблемы, не стесняйтесь обращаться к нам:"
"Last name";"Фамилия"
"Log-in with Facebook";"Войти с Facebook"
"Login:";"Логин:"
"Miss";"Пользователь"
"Mr";"Мужчина"
"Mrs";"Женщина"
"My Account";"Мой аккаунт"
"My application's users";"Пользователи моего приложения"
"No user for now.";"Нет пользователя"
"No user match your request.";"Пользователя нет"
"Old Password";"Старый пароль"
"Or with your account";"У меня уже есть аккаунт"
"Please enter your email address. We'll send you your password right now.";"Пожалуйста, введите Ваш адрес электронной почты. Мы вышлем вам пароль сейчас."
"Please log in with your mobile phone";"Пожалуйста, войдите с помощью мобильного телефона"
"Privacy Policy";"Политика конф."
"See you soon,";"Cпасибо, что Вы с нами!"
"Show me in ranking";"Показать меня в рейтинге"
"The old email address does not match the entered email address.";"Старый адрес электронной почты, не соответствует введённому адресу электронной почты."
"This user can access the pages locked by the \"Locker\" feature";"Этот пользователь может получить доступ к страницам, заблокированных функцией \"блокировки\""
"This user is visible in ranking";"Пользователь виден в рейтинге"
"Title";"Название"
"User";"Пользователь"
"User Information";"Информация о пользователе"
"Users";"Пользователи"
"We are sorry but the %s account is already linked to one of our customers";"Мы сожалеем, но аккаунт %s уже связан с одним из наших клиентов"
"We are sorry but this nickname is already used";"Мне жаль, но этот ни уже занят"
"We are sorry but this nickname is not valid. Use only alphanumerical characters and underscores and use 15 characters maximum";"Мне жаль, но этот ник не подойдет. Используйте только буквы, цифры и подчеркивание. Максимально 15 знаков."
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Вы только, что зарегистрировались в нашем приложении. <br/>"
"You must agree to our privacy policy to create an account.";"Вы должны согласиться с нашей политикой конфиденциальности, чтобы создать учетную запись."
"You must fill firstname and lastname fields.";"Вы должны заполнить имя и фамилию."
"Your account has been successfully saved";"успешно сохранен"
"Your points";"Ваши баллы"
