"<strong>%s</strong> is not a numerical value<br />";"<strong>%s</strong> - это не числовое значение<br />"
"<strong>%s</strong> is not valid email address<br />";"<strong>%s</strong> - это не действительный адрес электронной почты<br />"
"<strong>%s</strong> is required<br />";"<strong>%s</strong> обязательно<br />"
"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> должно быть числовое значение<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong> должна быть действительная дата (e.g. dd/mm/yyyy)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</должна быть действительная дата<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> должен быть действительный адрес электронной почты<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> нужно заполнить<br />"
"Add a field";"Добавить поле"
"Add a section";"Добавить раздел"
"Add an option";"Добавить опцию"
"An error occurred while saving. A field can't be identified.";"Произошла ошибка при сохранении. Поле не может быть идентифицировано."
"Are you sure you want to remove this field?";"Вы уверены, что хотите удалить это поле?"
"Are you sure you want to remove this section?";"Вы уверены, что хотите удалить этот раздел?"
"Checkbox";"Флажок"
"Choose a field type:";"Выберите тип поля:"
"Create a new field";"Создать новое поле"
"Date/Hour";"Дата / час"
"Drop down";"Выбор"
"Edit field %s";"Редактировать поле %s"
"Field name";"Наименование поля"
"Field name:";"Название поля:"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side.";"Данные формы будут отправлены на этот адрес электронной почты. Пока вы не заполните это поле, ваша форма не будет отображаться на стороне клиента."
"Geolocation";"Геолокация"
"Hello,";"Здравствуйте,"
"Import a picture";"Импорт Фото"
"Import from Library";"Импорт из галереи"
"Manage fields";"Управление полем"
"Manage options:";"Управление параметрами:"
"Multiline text";"Текст многострочный"
"Option";"Опция"
"Radio";"Радио"
"Recipient email";"email получателя"
"Recipient email:";"Адрес электронной почты получателя:"
"Take a picture";"Сделать снимок"
"The form has been sent successfully";"Успешно отправлена"
"You have to choose a field type.";"Вы должны выбрать тип поля."
"Your app's form";"Форма вашего приложения"
"Your form has been filled out, here are the answers:";"Ваша форма была заполнена, вот ответы:"
