"Add additional address";"Добавить дополнительный адрес"
"Add category";"Добавить категорию"
"Add cuisine";"Добавить кухню"
"Add cuisines";"Добавить кухни"
"Add dish";"Добавить блюдо"
"Add ingridient";"Добавить ингридиент"
"Add option";"Добавить опцию"
"Add option value";"Добавить значение параметра"
"Add restaurant";"Добавить ресторан"
"Add tag";"Добавить тег"
"Add to cart";"Добавить в корзину"
"Additional address";"Дополнительный адрес"
"Additional addresses";"Дополнительные адреса"
"Address data";"Адрес"
"All * fields are required!";"Поля с * обязательны для заполнения"
"Apply";"Применить"
"Are you sure?";"Вы уверены?"
"Bonus percent (-1, if disable)";"Бонусный процент (-1, если отключен)"
"Booking";"Бронирование"
"Booking Orders";"Заказы на бронирование"
"Booking history";"История бронирования"
"Booking status";"Статус брони"
"But it should not be so. Look at the menu of our restaurants - we are sure that you will pick up something for yourself!";"Но так не должно быть. Посмотрите на меню наших ресторанов - мы уверены, что вы подберете что-то для себя!"
"Cart";"Корзина"
"Cash";"Наличные"
"Categories";"Категории"
"Check again - you have not selected the required options.";"Проверьте еще раз - вы не выбрали обязательные опции."
"Checkbox";"Чекбокс"
"Choose category";"Выберите категорию"
"Choose cuisine";"Выберите кухню"
"Choose option";"Выберите опцию"
"Choose restoraunt";"Выберите ресторан"
"Close now";"Сейчас закрыто"
"Comment";"Комментарий"
"Confirmed";"Подтвержден"
"Contact data";"Контактные данные"
"Cuisines";"Кухни"
"Customer";"Клиент"
"Date";"Дата"
"Declined";"Отклонено"
"Deliver methods";"способы доставки"
"Deliver methods zonas and costs";"Способы доставки, зоны и стоимость"
"Delivery";"Доставка"
"Delivery cost to zona";"Стоимость доставки до зоны"
"Description";"Описание"
"Dishes";"Блюда"
"Drop down list";"Выпадающий список"
"Edit additional address";"Редактировать дополнительный адрес"
"Edit category";"Редактировать категорию"
"Edit cuisine";"Редактировать тип кухни"
"Edit dish";"Редактировать блюдо"
"Edit ingridient";"Редактировать ингридиент"
"Edit option";"Редактировать опцию"
"Edit restaurant";"Редактировать ресторан"
"Edit tag";"Редактировать тег"
"Email";"Email"
"Enabled zona";"Включенная зона"
"Fill out the form below and wait for the notice from the restaurant staff";"Заполните форму ниже и дождитесь уведомления от персонала ресторана"
"Filtering";"Фильтрация"
"First name";"Имя"
"From";"От"
"Home";"Главная"
"Information";"Информация"
"Ingridients";"Ингридиенты"
"Is required";"Обязательно"
"Items";"Товары"
"Last name";"Фамилия"
"Latitude";"Широта"
"Logo on main screen";"Логотип на главном экране"
"Longitude";"Долгота"
"Main settings";"Основные настройки"
"Mark the necessary tags and tags of dishes, then click apply.";"Отметьте нужные метки и метки блюд, затем нажмите «Применить»."
"Menu";"Меню"
"No Records Found";"Записей не найдено"
"None";"Нет"
"On map";"На карте"
"Online payments";"Онлайн платежи"
"Open all restoraunts on map";"Открыть все рестораны на карте"
"Option type";"Тип опции"
"Option value";"Значение параметра"
"Option values";"Значения опций"
"Optional";"Не обязательно"
"Options";"Опции"
"Order all";"Заказать все"
"Order this";"Заказать это"
"Parent category";"Родительская категория"
"Payments methods";"Способы оплаты"
"Pending";"В ожидании"
"Persons";"Лиц"
"Phone";"Телефон"
"Pickup";"Самовывоз"
"Qty";"Кол-во"
"Radio button";"Радио кнопки"
"Require datetime delivery?";"Требуется дата и время доставки?"
"Require datetime pickup?";"Требуется дата и время самовывоза?"
"Require pickup delivery?";"Требуется самовывоз?"
"Required";"Обязательно"
"Reserve a table";"Забронировать столик"
"Reset";"Сбросить"
"Restaurant";"Ресторан"
"Restaurant Phone";"Телефон ресторана"
"Restaurant hours schedule";"Расписание ресторана"
"Restaurant settings";"Настройки ресторана"
"Restaurants";"Рестораны"
"Restoraunts on map";"Рестораны на карте"
"Save";"Сохранить"
"Send request";"Отправить запрос"
"Show cuisine choice on main screen";"Показать выбор кухни на главном экране"
"Show on map";"Показать на карте"
"Show restaurant on map";"Показывать ресторан на карте"
"Specials";"Акции"
"Stuff";"Персонал"
"Subitle";"Подзаголовок"
"Subtitle";"Подзаголовок"
"Subtotal";"Промежуточный итог"
"Tags";"Теги"
"Time";"Время"
"Title";"Название"
"Title zona";"Название зоны"
"Top-level category";"Категория высшего уровня"
"Total";"Всего"
"Total items in the cart for the amount of";"Всего товаров в корзине на сумму"
"Use quantity";"Используйте количество"
"User data";"Данные пользователя"
"VAT";"НДС"
"VAT included in price";"с НДС"
"View all in category:";"Посмотреть все в категории:"
"View menu";"Посмотреть меню"
"Your cart is empty.";"Ваша корзина пуста."
"Your position";"Ваше местоположение"
"Your request has been sent.";"Ваш запрос был отправлен."
"booking";"бронирование"
"delivery";"доставка"
"or choose subcategory:";"или выберите подкатегорию:"
"pickup";"самовывоз"
