"Action";"Действие"
"Activate VAT number check with VIES";"Активируйте проверку номера НДС с помощью VIES"
"Add a custom text to the footer of your invoices";"Добавьте пользовательский текст в нижний колонтитул ваших счетов"
"App Name";"Имя приложения"
"Client";"Клиент"
"Date";"Дата"
"Invoice";"Счет"
"Invoice %s";"Счет %s"
"Invoice N°";"N° счета"
"Invoice options";"Варианты счета"
"List of your invoices";"Список ваших счетов"
"My Invoices";"Мои счета"
"Offline plans";"Автономные планы"
"Order";"Заказ"
"Orders";"Заказы"
"Paid At";"Оплачено в"
"Paid at:";"Оплачен в:"
"Payment Method";"Способ оплаты"
"Price Excl. Tax";"Цена без учета налога"
"Qty";"Кол-во"
"Sales configuration";"Конфигурация продаж"
"This feature is not ready yet. Please try again later.";"Эта функция еще не готова. Пожалуйста, попробуйте позже."
"This message will be displayed as a waiting message when your users chose an offline payment method";"Это сообщение будет отображаться как ожидающее сообщение, когда ваши пользователи выбрали способ оплаты в автономном режиме."
"This message will be displayed as an information message to describe which offline payment method you offer";"Это сообщение будет отображаться в виде информационного сообщения, чтобы указать, какой способ оплаты в автономном режиме вы предлагаете"
"Total Excl. Tax";"Итого без налога"
"VAT check options";"Параметры проверки НДС"
"You don't have any invoices yet";"У вас еще нет счетов"
