"Create a new language";"Создать новый язык"
"Default text";"Текст по умолчанию"
"Edit the language: %s";"Изменить язык: %s"
"Language";"Язык"
"Language successfully saved";"Перевод успешно сохранен"
"List of your languages";"Список ваших языков"
"Please, choose a file.";"Пожалуйста, выберите файл."
"Please, choose a language.";"Пожалуйста, выберите язык."
"Select a file";"Выберите файл"
"Select a language";"Выберите язык"
"Text translation";"Перевод текста"
"Translate all";"Перевести все"
"Translate missing entries";"Перевести недостающие записи"
"Translate the 'e.g.' between parentheses only.";"Переводить только то, что в 'галочка'"
"Translation API is not available for the current language.";"Перевод API не доступен для текущего языка."
"Translations";"Переводы"
"Warning: translation API is experimental for the current language and may fail.";"Предупреждение: перевод API является экспериментальным для текущего языка и может произойти сбой."
"Your translation";"Ваш перевод"
