"App Name";"Название приложения"
"Area";"Площадь"
"Background Color";"Цвет фона"
"Background Color - Active";"Цвет фона - Актив"
"Background Color - Hover";"Цвет фона - Ссылка"
"Border Blue";"Границы Синий"
"Border Green";"Границы Зеленой"
"Border Grey";"Граница Серый"
"Border Purple";"Границы Фиолетовый"
"Border Red";"Границы Красный"
"Border Yellow";"Границы Желтый"
"Buttons";"Кнопки"
"Color blue";"Цвет синий"
"Color green";"Цвет зеленый"
"Color purple";"Цвет фиолетовый"
"Color red";"Цвет красный"
"Color yellow";"Цвет желтый"
"Company or Fullname";"Компании или имя"
"Contact e-mail";"Контактный адрес электронной почты"
"Content background";"Содержание фона"
"Content color";"Цвет содержимого"
"Country";"Страна"
"Custom domain name:";"Пользовательское доменное имя:"
"Customize My Editor";"Настроить мой редактор"
"Delete/Cancel buttons";"Удалить/Отменить кнопки"
"Drop Down";"Падение Вниз"
"E-mail";"E-mail"
"Enable GDPR features & rules";"Включить функции GDPR и правила"
"Enable White-Label";"Включить White-Label"
"Favicon";"Фавикон"
"Font Color blue";"Цвет шрифта синий"
"Full address";"Полный адрес"
"General";"Общие"
"Grey buttons";"Серые кнопки"
"Header";"Заголовок"
"In application of the GDPR regulation text, you must fullfill legal contact informations, whether you are a Company or an Individual.";"При применении текста правила GDPR вы должны заполнять юридическую контактную информацию, являетесь ли вы компанией или физическим лицом."
"Input flat";"Плоский вход"
"Loading your white label editor";"Загрузить свой white label"
"Loading your white label editor.";"Загрузка редактора white label"
"Logo";"Лого"
"Menu";"Меню"
"Page";"Страница"
"Phone";"Телефон"
"Send your favicon";"Ваш favicon"
"Send your logo";"Ваше лого"
"Sidebar background";"Фон боковой панели"
"Step menu background";"Шаг меню фона"
"Text Color";"Цвет текста"
"Text Color - Active";"Цвет текста - Актив"
"Text Color - Hover";"Цвет текста - Ссылка"
"The CNAME of the entered URL is not properly set";"CNAME введенного URL-адреса не установлен должным образом"
"This URL is already used";"Этот URL-адрес уже используется"
"Titles";"Названия"
"White Label Editor";"White Label Editor"
"White Label Editor Settings";"Настройки White Label Editor"
"White-Label name";"Название White-Label"
