"Add To Cart";"Добавить В Корзину"
"Address (1):";"Адреса (1):"
"Address (2):";"Адрес (2):"
"All products";"Все товары"
"An error occurred while making your payment. Please try again later.";"Произошла ошибка при внесении платежа. Пожалуйста, попробуйте снова позже."
"An error occurred while trying to set up Paypal transaction. Please contact an administrator.";"Произошла ошибка при попытке создать транзакцию в PayPal. Пожалуйста, свяжитесь с администратором."
"Api endpoint";"Конечная точка API"
"Are you sure to remove this line from cart?";"Вы уверены, что хотите удалить эту строку из корзины?"
"Billing Address";"Платежный Адрес"
"CVC";"CVC"
"Cart";"Сумма"
"Cart total";"Сумма итого"
"Categories";"Категории"
"City:";"Город:"
"Code";"Код"
"Company:";"Компания:"
"Configuration error. Please contact an administrator.";"Ошибка конфигурации. Пожалуйста, свяжитесь с администратором."
"Consumer key";"Пользовательский ключ"
"Country:";"Страна:"
"Create Customer";"Создать Клиента"
"Credit Card payment";"Оплата кредитной картой"
"Customer error";"Ошибка клиента"
"Email*:";"Электронная почта*:"
"Email:";"Электронная почта:"
"Error during order creation";"Ошибка при создании заказа"
"Error during registration";"Ошибка при регистрации"
"Error while getting products";"Ошибка при получении продукции"
"Error while loading shop configuration.";"Ошибка при загрузке конфигурации магазина."
"Exp Month";"Месяц"
"Exp Year";"Год"
"First Name*:";"Имя*:"
"First Name:";"Имя:"
"Grouped product details";"Сгруппированные детали товара"
"Header";"Обложка"
"Hey";"Привет"
"Import a header";"Импорт"
"In order to proceed, please fill your Woocommerce customer email below:";"Для того чтобы продолжить, пожалуйста, заполните данные вашего woocommerce электронной почты клиента ниже:"
"Invalid Quantity";"Недопустимое Количество"
"Last Name*:";"Фамилия*:"
"Last Name:";"Фамилия:"
"Loading";"Загрузка"
"New Customer";"Новый Клиент"
"New user";"Новый пользователь"
"No categories for now";"Нет категории"
"No products for now.";"Нет товаров."
"OK";"Ок"
"Oops!";"Упс!"
"Order cancelled";"Заказ отменен"
"Our online shop";"Наш интернет-магазин"
"Out of stock";"В наличии"
"Password*:";"Пароль*:"
"Pay by Credit Card";"Оплатить кредитной картой"
"Pay by Paypal";"Оплатить PayPal"
"Pay on our online store";"Оплатить в нашем интернет-магазине"
"Payment result";"Результат оплаты"
"Paypal Settings";"Настройки Системы PayPal"
"Paypal password";"Пароль PayPal"
"Paypal signature";"Подпись в PayPal"
"Paypal username";"Имя пользователя в системе PayPal"
"Personal Information*";"Личная Информация*"
"Phone:";"Телефон:"
"Please enter a Password.";"Пожалуйста, введите пароль."
"Please enter a Username.";"Пожалуйста, введите имя пользователя."
"Please enter a credit card number";"Пожалуйста, введите номер кредитной карты"
"Please enter an Email.";"Пожалуйста, введите адрес электронной почты."
"Please enter the credit card expiration month";"Пожалуйста, введите действия кредитной карты месяц"
"Please enter the credit card expiration year";"Пожалуйста, введите действия кредитной карты год"
"Please enter your First Name.";"Пожалуйста, введите ваше имя."
"Please enter your Last Name.";"Пожалуйста, введите Вашу фамилию."
"Please fill in your information in order to pay by credit card";"Пожалуйста, заполните вашу информацию для того, чтобы оплатить с помощью кредитной карты"
"Postcode:";"Почтовый индекс:"
"Proceed";"Продолжить"
"Product successfully added to your Cart.";"Товар успешно добавлен в Вашу корзину."
"Products";"Товары"
"Quantity:";"Количество:"
"Registration successful";"Регистрация прошла успешно"
"Remove product";"Удалить товар"
"Same as billing address";"Так же, как платежный адрес"
"See you soon on our store!";"Скоро увидимся в нашем магазине!"
"Shipping Address";"Адрес Доставки"
"Social Profiles";"Социальные Профили"
"Sorry, product not found.";"К сожалению, товар не найден."
"State:";"Состояние:"
"Stock Quantity:";"Количество Акций:"
"Stripe Publishable Key";"Stripe Публичный Ключ"
"Stripe Secret Key";"Stripe Секретный Ключ"
"Stripe Settings";"Параметры Stripe"
"Success";"Успешно"
"Success.";"Успешно"
"Thank you!";"Спасибо!"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Платеж был отменен, что-то случилось? Не стесняйтесь обращаться к нам."
"This customer doesn't exists in our database or is an administrator account. Please register.";"Этот клиент не существует в нашей базе данных или учетной записи администратора. Пожалуйста, зарегистрируйтесь."
"This email is invalid. Please enter a valid Email.";"Это письмо является недействительным. Пожалуйста, введите действительный адрес электронной почты."
"Username*:";"Имя пользователя*:"
"Variation:";"Вариации:"
"Woocommerce Settings";"Настройки Плагина Woocommerce"
"Woocommerce url";"URL-адрес сайта"
"Your account has been created successfully";"Ваш аккаунт был успешно создан"
"Your card has been declined.";"Ваша карта была отклонена."
"Your cart";"Ваша корзина"
"Your cart is empty.";"Ваша корзина пуста."
"Your order has been created successfully, please choose a payment method below:";"Ваш заказ был успешно создан, Пожалуйста, выберите способ оплаты ниже:"
"Your payment has been done successfully.";"Ваш платеж успешно прошёл"
