"lb12_Change Password";"lb12_Parola değiştir"
"lb12_Connection";"lb12_Bağlantı"
"lb12_Create account";"lb12_Hesap oluştur"
"lb12_Email";"lb12_E-posta"
"lb12_Firstname";"lb12_İsim"
"lb12_Forgot your password?";"lb12_Parolanızı mı unuttunuz?"
"lb12_Forgot your password? Enter your email address, it will be emailed to you";"lb12_Parolanızı mı unuttunuz? E-posta adresinizi girin, e-postanıza iletilsin."
"lb12_I accept the privacy policy";"lb12_Gizlilik Politikası'nı kabul ediyorum"
"lb12_Lastname";"lb12_Soyisim"
"lb12_Nickname";"lb12_Kullanıcı adı"
"lb12_Old Password";"lb12_Eski parola"
"lb12_Or sign in with Facebook";"lb12_Facebook ile kaydolun"
"lb12_Password";"lb12_Parola"
"lb12_Save";"lb12_Kaydet"
"lb12_Send me my password";"lb12_Parolamı gönder"
"lb12_Show me in ranking";"lb12_Beni sıralamada göster"
"lb12_Sign in";"lb12_Oturum aç"
"lb12_Sign up";"lb12_Kaydol"
"lb12_Welcome";"lb12_Hoş geldiniz"
"lb12_Your points";"lb12_Puanlarınız"
