" is now yours!";"Şimdi sizin!"
"%d validated points = ";"%d onaylı puanlar =  "
"1 loyalty point =";"1 bağlılık puanı ="
"1 point";"1 puan"
"1 validated point =";"1 doğrulanmış puan ="
"1 validated point = ";"1 onaylı puan = "
"An error occurred while retrieving QRCode. Please try again later";"QR kod alınırken bir hata oluştu. Lütfen daha sonra tekrar deneyiniz"
"An error occurred while saving the password. Please try again later";"Parolanızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz"
"An error occurred while saving the password. Please try again later.";"Parolanızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your loyalty card.";"Bağlılık kartı kaydedilirken bir hata oluştu."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Bağlılık kartı kaydedilirken bir hata oluştu.Tüm alanları doldurunuz."
"An error occurred while validating point. Please try again later.";"Puanlarınız doğrulanırken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred with your QRCode.";"QR kodunuzda bir hata oluştu."
"Card name";"Kart ismi"
"Congratulations";"Tebrikler"
"Current card";"Güncel kart"
"Delete this password?";"Bu şifre silinsin mi?"
"Employee's name";"Çalışanın ismi:"
"Employee's name:";"Çalışanın ismi"
"Employee's password";"Çalışanın şifresi"
"Employee's password:";"Çalışanın şifresi:"
"Enter password";"Parolanızı girin"
"Enter the password";"Şifre girin"
"My new loyalty card";"Yeni sadakat kartım"
"My passwords";"Yeni şifrem"
"No cards available";"Mevcut kart yok."
"Number of points";"Puan Sayısı"
"Please enter a name";"Bir isim girin"
"Please enter the password";"Şifre girin"
"Please show your phone to the store person so that he enters his password";"Lütfen telefonunuzu mağza çalışanına gösterin ki şifresini girebilsin"
"Point active";"Puan aktif"
"Point inactive";"Puan aktif değil."
"Point%s successfully validated";"%s puan başarıyla doğrulandı"
"Previous cards";"Önceki kartlar"
"Reward";"Ödül"
"Rewards";"Ödüller"
"Scan QRCode";"QR Kodu tara"
"This card is uniq:";"Bu kart tektir:"
"Unlock by QRCode";"Kilidi QR kod ile aç"
"Unreadable QRCode, sorry.";"QR Kod okunabilir değil, üzgünüz."
"Use only once?";"Yalnızca bir kez kullanılsın mı?"
"We are sorry but this card is temporarily blocked";"Üzgünüz ama bu kart geçici olarak bloke edilmiştir"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Dikkat edin yanlış şifre girdiniz deneme sayınız %d kartınızı kitlemeden önce kalan deneme sayınız %s puanlarınızı doğrulatmak için mağza çalışanıyla konuşunuz."
"Wrong password.<br />Be careful !<br />%d remaining attempt%s before locking your card.<br />Ask the store person for validating your point";"Yanlış şifre. <br /> Dikkatli olun! <br /> Kartınızı kilitlemeden önce %s kalan %s deneme hakkı. <br /> Puanınızı doğrulamak için mağaza yetkilisine sorun."
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Yanlış şifre.<br />Dikkat edin! %d kez denediniz %s kartınızı kitlemeden önce kalan deneme sayınız %s.<br /> puanlarınızı doğrulatmak için mağza çalışanıyla konuşunuz"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Puanlarınızı doğrulamak için deneme sayısını aştınız. Kartınız 24 saat kilitli"
"You just finished your card";"Kartınızı bitirdiniz"
"You must be logged in to validate points";"Puanları doğrulamak için giriş yapmalısınız"
"Your loyalty card has been saved successfully";"Bağlılık kartınız başarıyla kaydedildi"
"Your password must be 4 digits";"Şifreniz 4 basamaklı olmalı"
"is now yours!";"Şimdi sizin!"
"point";"puan"
"point to validate";"dogrulama puanı"
"points to validate";"doğrulam puanları"
"validated points =";"Onaylanmış puanlar ="
"validated points = ";"geçerli puanlar="
